# timestamp tx ty tz qx qy qz qw
1766983269.299971 -1.062085 -335.427979 74.414230 0.702845 -0.441518 -0.482049 -0.280534
1766983269.399820 -3.020717 -336.055420 74.390472 0.700292 -0.447667 -0.478853 -0.282640
1766983269.499911 -5.005519 -336.642365 74.366760 0.700924 -0.455793 -0.470528 -0.282066
1766983269.599877 -7.024543 -337.220062 74.341721 0.701238 -0.461497 -0.463444 -0.283736
1766983269.699964 -9.062736 -337.744781 74.318306 0.702702 -0.467211 -0.454598 -0.285069
1766983269.799802 -11.100651 -338.249969 74.309288 0.701685 -0.473379 -0.447992 -0.287842
1766983269.899879 -13.136885 -338.717590 74.272873 0.695523 -0.479778 -0.448160 -0.291912
1766983269.999992 -15.223603 -339.162750 74.217682 0.688074 -0.490028 -0.446890 -0.294475
1766983270.099835 -17.313721 -339.590393 74.160622 0.683398 -0.500675 -0.441415 -0.295712
1766983270.199933 -19.451838 -339.973419 74.118294 0.678995 -0.507900 -0.436900 -0.300203
1766983270.299783 -21.596251 -340.296509 74.069817 0.675463 -0.513732 -0.431689 -0.305735
1766983270.399879 -23.725994 -340.579773 74.006653 0.671625 -0.520263 -0.426977 -0.309737
1766983270.499967 -25.842072 -340.854645 73.954376 0.665318 -0.528900 -0.423722 -0.313171
1766983270.599812 -27.975763 -341.065613 73.889297 0.658660 -0.538655 -0.420156 -0.315414
1766983270.699898 -30.139694 -341.276733 73.836815 0.652900 -0.547298 -0.416351 -0.317550
1766983270.799994 -32.313763 -341.427490 73.806496 0.647727 -0.554750 -0.411617 -0.321363
1766983270.899841 -34.531170 -341.538574 73.767227 0.641756 -0.561843 -0.408001 -0.325602
1766983270.999929 -36.757469 -341.583893 73.714943 0.635185 -0.569840 -0.403121 -0.330630
1766983271.099895 -38.981514 -341.602295 73.678864 0.626241 -0.576169 -0.401645 -0.338426
1766983271.199990 -41.204956 -341.580933 73.647530 0.617243 -0.580301 -0.401354 -0.348104
1766983271.299834 -43.430130 -341.543427 73.642242 0.607692 -0.582681 -0.403967 -0.357777
1766983271.399919 -45.613483 -341.404114 73.611038 0.596572 -0.588812 -0.404947 -0.365267
1766983271.499882 -47.790886 -341.249603 73.593674 0.586863 -0.595831 -0.403406 -0.371269
1766983271.599968 -49.972351 -341.060303 73.559219 0.578425 -0.601490 -0.401852 -0.377027
1766983271.699802 -52.163269 -340.807831 73.528465 0.572068 -0.607406 -0.398508 -0.380773
1766983271.799891 -54.391819 -340.567657 73.508560 0.563956 -0.610924 -0.397711 -0.388010
1766983271.899973 -56.600410 -340.301392 73.522446 0.555836 -0.612832 -0.396791 -0.397543
1766983271.999819 -58.796551 -339.983154 73.537338 0.547826 -0.614865 -0.395197 -0.406997
1766983272.099914 -61.005676 -339.635925 73.548340 0.537235 -0.618296 -0.396362 -0.414713
1766983272.199890 -63.200352 -339.252563 73.561890 0.525872 -0.622563 -0.398696 -0.420613
1766983272.299980 -65.392838 -338.821808 73.568481 0.516166 -0.627394 -0.398960 -0.425184
1766983272.399823 -67.551147 -338.377350 73.592926 0.509960 -0.630930 -0.396829 -0.429412
1766983272.499907 -69.710136 -337.894897 73.636955 0.504692 -0.632278 -0.395893 -0.434488
1766983272.599991 -71.898384 -337.371399 73.690376 0.500226 -0.633687 -0.394605 -0.438750
1766983272.699820 -74.058167 -336.820618 73.752243 0.494949 -0.633945 -0.394741 -0.444206
1766983272.799908 -76.224190 -336.240814 73.816338 0.492336 -0.634633 -0.393227 -0.447458
1766983272.899893 -78.386444 -335.643860 73.877808 0.487558 -0.634400 -0.393482 -0.452765
1766983272.999962 -80.535843 -334.993713 73.942154 0.481219 -0.631127 -0.396461 -0.461439
1766983273.099804 -82.674561 -334.332733 74.019341 0.475424 -0.626717 -0.398985 -0.471178
1766983273.199889 -84.818871 -333.638031 74.109276 0.472455 -0.623888 -0.397586 -0.479036
1766983273.299961 -86.929588 -332.936310 74.185875 0.469925 -0.621135 -0.394615 -0.487485
1766983273.399793 -89.063705 -332.234619 74.258026 0.466145 -0.618962 -0.393042 -0.495090
1766983273.499876 -91.177765 -331.495209 74.315765 0.463768 -0.622652 -0.387582 -0.496994
1766983273.599961 -93.284554 -330.755798 74.368019 0.459027 -0.619772 -0.386989 -0.505388
1766983273.699792 -95.358940 -329.984436 74.416916 0.455357 -0.617457 -0.385965 -0.512277
1766983273.799886 -97.442787 -329.222595 74.457123 0.451358 -0.616103 -0.385095 -0.518069
1766983273.899972 -99.529404 -328.453308 74.477417 0.447542 -0.615149 -0.384925 -0.522619
1766983273.999810 -101.618301 -327.700195 74.486618 0.444208 -0.615803 -0.382700 -0.526314
1766983274.099905 -103.699257 -326.941711 74.494606 -0.440231 0.612947 0.381684 0.533676
1766983274.199883 -105.754234 -326.131073 74.495270 -0.435027 0.612524 0.380603 0.539173
1766983274.299972 -107.823532 -325.301880 74.499397 -0.432410 0.612688 0.379117 0.542131
1766983274.399813 -109.877113 -324.488159 74.506668 -0.429459 0.612359 0.376873 0.546395
1766983274.499896 -111.917801 -323.633148 74.504356 -0.425821 0.612076 0.377741 0.548955
1766983274.599995 -113.964417 -322.814545 74.499527 -0.421894 0.610188 0.379570 0.552813
1766983274.699823 -116.005867 -321.946045 74.495819 -0.421337 0.611096 0.379194 0.552493
1766983274.799912 -118.063568 -321.076813 74.490875 -0.421501 0.609100 0.380419 0.553729
1766983274.899890 -120.106102 -320.186920 74.493996 -0.422000 0.604969 0.382853 0.556194
1766983274.999961 -122.152077 -319.309601 74.508026 -0.421654 0.601543 0.384877 0.558770
1766983275.099796 -124.183617 -318.413452 74.519073 -0.421044 0.597541 0.388115 0.561278
1766983275.199896 -126.214935 -317.529785 74.526924 -0.419183 0.591076 0.393541 0.565721
1766983275.299989 -128.240784 -316.650635 74.532440 -0.417852 0.587290 0.397928 0.567577
1766983275.399831 -130.247879 -315.772461 74.541077 -0.417859 0.584579 0.399972 0.568933
1766983275.499925 -132.261703 -314.874237 74.564232 -0.418363 0.579748 0.402629 0.571624
1766983275.599884 -134.263062 -314.017822 74.591148 -0.418597 0.576491 0.404210 0.573627
1766983275.699980 -136.300781 -313.158966 74.629456 -0.416999 0.571132 0.406511 0.578506
1766983275.799813 -138.309464 -312.259399 74.666458 -0.417253 0.568526 0.406790 0.580689
1766983275.899902 -140.339432 -311.317810 74.701683 -0.416739 0.566393 0.408807 0.581725
1766983275.999875 -142.367767 -310.387085 74.736954 -0.415942 0.564048 0.409809 0.583865
1766983276.099967 -144.388123 -309.473999 74.770493 -0.416239 0.563897 0.406922 0.585816
1766983276.199795 -146.401184 -308.619598 74.801872 -0.417030 0.563985 0.404402 0.586913
